n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,min_impurity_decrease,MMRE-
10,squared_error,5,2,1,None,0.0,2888.4102
10,squared_error,5,2,1,None,0.1,13246.531200000001
10,squared_error,5,2,1,None,0.2,21112.2713
10,squared_error,5,2,1,None,0.3,20959.38486
10,squared_error,5,2,1,sqrt,0.0,8720.03494
10,squared_error,5,2,1,sqrt,0.1,17880.89346
10,squared_error,5,2,1,sqrt,0.2,21174.8024
10,squared_error,5,2,1,sqrt,0.3,20799.5337
10,squared_error,5,2,1,log2,0.0,5504.26754
10,squared_error,5,2,1,log2,0.1,17757.033659999997
10,squared_error,5,2,1,log2,0.2,20770.72318
10,squared_error,5,2,1,log2,0.3,20876.87846
10,squared_error,5,2,5,None,0.0,3347.21518
10,squared_error,5,2,5,None,0.1,13128.12812
10,squared_error,5,2,5,None,0.2,20909.62102
10,squared_error,5,2,5,None,0.3,20969.661679999997
10,squared_error,5,2,5,sqrt,0.0,7033.10016
10,squared_error,5,2,5,sqrt,0.1,18791.43492
10,squared_error,5,2,5,sqrt,0.2,21054.43674
10,squared_error,5,2,5,sqrt,0.3,21094.72914
10,squared_error,5,2,5,log2,0.0,8744.70224
10,squared_error,5,2,5,log2,0.1,19219.45062
10,squared_error,5,2,5,log2,0.2,20896.142100000005
10,squared_error,5,2,5,log2,0.3,21057.57072
10,squared_error,5,2,10,None,0.0,3177.3600400000005
10,squared_error,5,2,10,None,0.1,13272.55926
10,squared_error,5,2,10,None,0.2,21333.208959999996
10,squared_error,5,2,10,None,0.3,21404.448
10,squared_error,5,2,10,sqrt,0.0,11153.80804
10,squared_error,5,2,10,sqrt,0.1,19266.92536
10,squared_error,5,2,10,sqrt,0.2,21012.989999999998
10,squared_error,5,2,10,sqrt,0.3,20867.92786
10,squared_error,5,2,10,log2,0.0,5344.17154
10,squared_error,5,2,10,log2,0.1,17853.897719999997
10,squared_error,5,2,10,log2,0.2,20877.115299999998
10,squared_error,5,2,10,log2,0.3,21035.831880000005
10,squared_error,5,2,20,None,0.0,2715.31232
10,squared_error,5,2,20,None,0.1,13161.448500000002
10,squared_error,5,2,20,None,0.2,21038.898999999998
10,squared_error,5,2,20,None,0.3,21072.973260000002
10,squared_error,5,2,20,sqrt,0.0,10098.46106
10,squared_error,5,2,20,sqrt,0.1,19239.35
10,squared_error,5,2,20,sqrt,0.2,21147.45914
10,squared_error,5,2,20,sqrt,0.3,21149.692420000003
10,squared_error,5,2,20,log2,0.0,12452.33236
10,squared_error,5,2,20,log2,0.1,19236.86088
10,squared_error,5,2,20,log2,0.2,21092.21746
10,squared_error,5,2,20,log2,0.3,21106.28126
10,squared_error,5,6,1,None,0.0,3078.5141599999997
10,squared_error,5,6,1,None,0.1,12758.196
10,squared_error,5,6,1,None,0.2,20875.2542
10,squared_error,5,6,1,None,0.3,21115.34278
10,squared_error,5,6,1,sqrt,0.0,6496.55926
10,squared_error,5,6,1,sqrt,0.1,18732.61712
10,squared_error,5,6,1,sqrt,0.2,21081.52704
10,squared_error,5,6,1,sqrt,0.3,21384.85478
